,train,val,test
384,-27.353918908469655,-50.7633572037286,-38.00828098731394
1755,-44.720539390004134,-50.268839734826194,-34.5148218215991
1026,-44.49580732307749,-52.89773523644616,-44.78697219258936
506,-69.28896879876808,-49.222097416924825,-111.08656053947294
1654,-56.568092674428065,-27.89745220181051,-40.89566456557572
319,-120.5700759807265,-128.46516560001663,-65.96312561244697
502,-55.90520043688535,-52.72764319688823,-46.98160657348957
522,-76.85438629483966,-58.63862410194375,-65.49479806504277
505,-26.4936823193686,-15.034950547416628,-15.319573936560886
415,-52.454100621252465,-84.21160198456518,-59.10145822943871
1848,-30.734061374164785,-65.40549499355656,-83.01928969523995
872,-436.55807395643563,-1462299090.837104,-246.74393043349127
1655,-62.58484057661748,-46.651754463052065,-89.09827388573729
1112,-67.59760997061083,-80.05929095248669,-89.3225224260681
597,-19.475085443859218,-35.261636312508394,-36.229969070412054
7313,-30.914139626673332,-54.04979760710735,-31.868701656928685
1125,-98.31536775116247,-95.77233768067111,-97.91875005168664
1744,-422.1693701474944,-513.8772269376652,-703.7347470308869
398,-56.004167408749815,-67.8817908601193,-29.533852245421564
1762,-48.698356116596855,-58.01889473103027,-30.515712442897254
60,-38.69816961088031,-27.604927341712266,-28.53984539351601
958,-33.350020437553866,-114.53627316680364,-219.54369147405424
390,-78.17812319209531,-136.22170333596586,-152.01268480808568
882,-49.98486537494384,-76.57447259135665,-16.079296642571972
473,-48.29864565437301,4.3769068569419245,-37.62659087524665
362,-42.36800758277703,-101.05592780597466,-89.88065607538502
63,-45.71419937303798,-32.308947664058735,-29.280659476085535
575,-30.829960786111045,-26.501789841749044,-62.76783105696464
1592,-265.85959786604116,-140.39081263371494,-377.72248618147324
1237,-369.1175733152136,-602.2646290701895,-320.97719604624444
1796,-53.09705560368421,-246.37970585301287,-41.034407599074264
1869,-47.84680919982539,-108.8524431428178,-64.21297474464545
293,-40.11665780277963,-41.11425677440819,-48.027687171331536
393,-33.29492263406946,-64.13630956718306,-23.33421281793206
1092,-840.1187904954918,-625.2604630431613,-624.4732444922423
1777,-60.51011667266933,-99.23983966304547,-29.52389697190669
1587,-298.1172858569231,-46.48655638690978,-151.15351314624624
798,-215.45486136902636,-319.14864225275073,-106.5642893600398
378,-347.1145711504222,-196.0990478454864,-28.8814866404729
456,-61.67012981343675,-71.661510082107,-187.42108157596965
1703,-63.969511311932045,-50.945507628595855,-18.531088594558366
837,-119.64363406968745,-192.8621881521659,-129.28567950564732
1645,-132.23572936985911,-54.99320784857374,-86.44248851526467
895,-66.90600560370719,-146.40881506673668,-32.52146931092349
517,-34.01480667409026,-29.606045823688305,-46.48900614475659
753,-13.914809811963417,-35.5702987730745,-2.296396088920524
938,-108.60577167733902,-75.12891315408649,-30.495551149205898
300,-36.16585163670394,-48.53599732779827,-28.30579287379927
529,-68.64108264483696,-182.67466852149389,-147.28733292737857
1101,-51.07739931991397,-61.61099902804464,-52.77907589338992
297,-21.535945689141457,-21.094175364699478,-20.687411016903898
1756,-34.64350748185203,-32.3015125457685,-16.404534127262508
601,-40.433488741256234,-111.22658433831407,-164.91818314497542
386,-452.08026396438754,-449.42427180169665,-560.0833333828976
536,-30.168520548593314,-43.34645618748799,-48.04528177992578
399,-246.25693583055033,-30.55580994436305,38.67251597316959
920,-25.5703560341126,-86.40535743789395,-11.643834641384617
1249,-1130.339387758093,-263.3386180345376,-716.0959743054744
131,-36.68997595936749,-49.191762896228575,-80.24702776895253
1753,-27.07713145457812,-34.084720226181396,-5.445579093158966
1017,-45.31875438517465,-49.658809871500345,-33.11015808987404
385,-93.81344464018333,-143.99488968517576,-113.9704189219813
784,-369.77349145162464,-290.54363123953414,-185.6325587718559
939,-173.8295540934479,-261.1020478008343,-374.93159553032285
780,-188.67984709288822,-68.24241690522992,-84.15098001234531
541,-28.22491370596832,-32.43328917781169,-47.45874407579063
492,-24.937851447090463,-10.91316856273742,-26.8423089607311
870,-16.486614773814285,-50.3040314987876,-5.56559443584489
55,-43.917956944688896,-44.97308615434952,-33.674866856888286
372,-68.47194105650429,-92.40392204513094,-108.92826157293689
367,-29.282749618946077,-40.40019574100917,-59.142574775284245
1683,-99.7247607980389,-50.407709284965065,-136.74522883698003
373,-24.185796254433875,-23.525285982070162,0.7690007476373186
574,-222.48804128691677,-283.2021289389298,-451.5967307936518
423,-66.94571688867256,-77.26133153679746,-50.60299256297552
884,-99.47189213102413,-228.9997277824111,-141.64057243160863
1740,-149.4537254076331,-94.52482502869088,-167.98295765723233
885,-27.686392691166176,-62.331601829102745,-3.7065182262563843
1042,-42.15483615447204,-35.447141863648035,-32.27623790922552
1192,-30.398867357872287,-72.74366556310724,-34.376670754452164
572,-67.6762495279873,-33.9928241254137,-105.01985841402475
511,-340.40071732024063,-526.4719950572551,-518.1764628499208
451,-26.93427707811527,-59.20769267332163,-31.68436882639978
449,-50.88600828466397,-58.92794016947217,-175.95394618269862
1883,-45.13334498451049,-40.431236654990606,-38.26464545276502
488,-30.33133140102429,-29.073030165750477,-36.38657966018408
1121,-98.31536775116247,-95.77233768067111,-97.91875005168664
497,-32.17522881022726,-41.95103897134263,-30.241758565175765
1754,-87.84228436610543,-95.10151042286886,-73.10460491094224
57,-71.6288504221402,-60.17361342977278,-53.29413374697568
416,-25.766110031298616,-41.79820592902572,-43.838323167436215
953,-752.7204078434592,-545.4757995897545,-557.5732914975405
1776,-216.1751711297749,-347.79733378547866,-194.10137412570563
1067,-53.50695034416117,-25.601953086156154,-30.302341440649965
898,-39.063490822355185,-57.60986386264877,-42.68209099177955
893,-159.40252021387576,-360.6117135790322,-95.37288913969486
421,-38.533082812226866,-38.81528257517072,-44.97044509098816
1634,-149.4537254076331,-94.52482502869088,-167.98295765723233
1864,-45.97506154655544,-128.41652252285965,-93.78972289638484
307,-14.92342047513339,-49.19721462083478,-16.704689108140435
355,-21.79940532595994,-39.51054243452861,-3.9806980844740676
1752,-9.457725289228025,-26.882924866553275,-64.21793004690717
292,-96.31142071300408,77.78531717366717,77.04370116580114
1036,-34.763529254999234,-26.598080722465998,-24.669073377497284
1739,-210.15718113387655,-327.90053576289534,-376.06729763706494
204,-27.433479347195174,11.085444489224251,-23.416616715084388
7318,-88.83473567121538,5.132009493034949,14.72126040199308
1741,-94.74393161750936,-104.56572870304943,-120.86353501602537
1086,-910.2191568853552,-130721.12091395659,-304430.1139354447
1851,-41.819313490534036,-52.265204054434804,-37.57203643136712
1761,-47.59795715787835,-129.17316902981503,-71.80777869920387
1714,-88.32653482618146,-136.8253657558108,-91.03852499378785
1122,-668.8166540058326,-983.1760965285603,-760.8140777558357
1586,-249.3427510725386,-81.54990689054415,-186.02598835647098
542,-45.26868492196831,119.5781360021822,-201.415720227055
509,-88.68231330509097,-100.88880632835668,-74.57593928311591
