,train,val,test
1026,-9.797388791186126,-13.103386680143695,-9.263416579102287
1761,-7.243246336464478,-8.606716403160249,-9.867644887970686
574,-20.87688415619321,-25.137292870592102,-58.7222533157567
1086,-427.3269738298681,-42996.231422771205,-83452.88420009338
953,-362.87742574422253,-259.5609694195353,-274.80004255733485
1101,-33.72172557113267,-49.82373236486808,-39.63712573466261
522,-9.324448051560132,0.1339845366852536,-0.978046995833829
502,-10.777361177038673,-9.6726197169834,-5.757111370288871
319,-4.468125136628129,-4.773478404743869,1.3226087050662132
511,-12.68229127670018,-18.44258300372224,-27.48126856954731
1092,-32.721015599439724,-24.920129633283945,-21.57593701237868
958,-13.757153164417018,-93.98209883551175,-185.5009528617476
1683,-30.73078944069872,-46.84423097084707,-23.78296648512544
506,-52.826552141247866,-30.462106906257954,-87.8378130266968
292,-22.128742509369136,-19.533692864568938,-9.701204679917543
541,-12.705750734228705,-19.181552029492295,-31.69000977401431
1654,-41.2384768010319,-21.59328964677608,-33.288346627583145
597,-6.504199289452164,-22.981847379434203,-24.793931197949362
386,-89.17739812214309,-87.05853968171257,-141.53223245383958
60,-7.1603309408437985,-0.7281841533633588,-3.105592888514405
1864,-11.402220268563292,-66.28705450077238,-42.31435257866748
920,0.17701179791971394,-2.121798567046713,5.459035954040653
57,-53.16512291910315,-36.50592161575401,-39.5325786861793
399,-9.269206861520034,-12.5861941560242,-40.93969236130438
1776,-5.810428984904509,-12.935517468568131,-4.851689112522334
393,-7.676037924669383,-25.713474003209416,-2.862426186996855
451,-11.330278321811985,-34.669538043371574,-19.310061926249688
1753,-5.311385051509443,-2.848222485639795,5.684347321877272
1762,-17.00839043671246,-20.281308871200515,-5.012056321861903
1714,-11.091204943953116,-27.25432321414605,-16.445788751675018
938,-45.05856638157841,-38.01643408401677,3.639313088097863
421,-12.647686912976372,-17.149270630651927,-19.824323639357853
488,-17.710205281455217,-19.725336893438488,-25.679777121083102
362,-19.652779783419795,-55.49176836333639,-42.74926911544727
390,-28.212225160249016,-35.85168668386752,-38.26934808042045
300,-19.53107421997574,-29.93824410046003,-12.504833579441673
517,-9.947979604075682,-8.557337067038903,-21.130309514446218
293,-20.30628702358102,-12.143017922245923,-17.2693961410907
372,-10.159570584030513,-13.39112524841508,-31.688779395229705
1634,-24.705683280070843,-24.196648864566786,-17.33503341616988
798,-39.46138655111772,-52.546466764474786,-15.821160144936192
63,-16.351644860775508,-2.2109016988162384,0.1674661683216658
939,-32.42327774766315,-81.23438581721184,-155.27784673734442
1122,-17.70897475696751,-21.28068949054632,-14.525144679661073
