,num_layers,hidden1,hidden2,dropout,random_seed,epochs_trained,val_error
0,1.0,20.0,20.0,0.3,0.0,111.0,0.6367710530757904
1,1.0,20.0,20.0,0.3,10.0,200.0,0.6013924479484558
2,1.0,20.0,20.0,0.3,100.0,107.0,0.6265563368797302
3,1.0,20.0,20.0,0.3,1000.0,166.0,0.6130139827728271
4,1.0,20.0,20.0,0.3,10000.0,212.0,0.5868628919124603
5,1.0,20.0,20.0,0.5,0.0,173.0,0.616464227437973
6,1.0,20.0,20.0,0.5,10.0,201.0,0.6212908625602722
7,1.0,20.0,20.0,0.5,100.0,138.0,0.6399522423744202
8,1.0,20.0,20.0,0.5,1000.0,85.0,0.6932655870914459
9,1.0,20.0,20.0,0.5,10000.0,106.0,0.6837022304534912
10,1.0,20.0,20.0,0.7,0.0,100.0,0.7309784293174744
11,1.0,20.0,20.0,0.7,10.0,106.0,0.7302394509315491
12,1.0,20.0,20.0,0.7,100.0,126.0,0.7112171649932861
13,1.0,20.0,20.0,0.7,1000.0,192.0,0.6860638856887817
14,1.0,20.0,20.0,0.7,10000.0,171.0,0.6659102141857147
15,1.0,20.0,40.0,0.3,0.0,92.0,0.6274343132972717
16,1.0,20.0,40.0,0.3,10.0,117.0,0.5850931704044342
17,1.0,20.0,40.0,0.3,100.0,156.0,0.5885756313800812
18,1.0,20.0,40.0,0.3,1000.0,135.0,0.5943405032157898
19,1.0,20.0,40.0,0.3,10000.0,163.0,0.6120243966579437
20,1.0,20.0,40.0,0.5,0.0,135.0,0.642907977104187
21,1.0,20.0,40.0,0.5,10.0,105.0,0.6274143159389496
22,1.0,20.0,40.0,0.5,100.0,138.0,0.6073685884475708
23,1.0,20.0,40.0,0.5,1000.0,172.0,0.606322169303894
24,1.0,20.0,40.0,0.5,10000.0,73.0,0.7271254658699036
25,1.0,20.0,40.0,0.7,0.0,147.0,0.6511848270893097
26,1.0,20.0,40.0,0.7,10.0,113.0,0.6673950254917145
27,1.0,20.0,40.0,0.7,100.0,94.0,0.6713104844093323
28,1.0,20.0,40.0,0.7,1000.0,87.0,0.6983685195446014
29,1.0,20.0,40.0,0.7,10000.0,133.0,0.6659441888332367
30,1.0,20.0,60.0,0.3,0.0,165.0,0.5960992276668549
31,1.0,20.0,60.0,0.3,10.0,162.0,0.594277560710907
32,1.0,20.0,60.0,0.3,100.0,269.0,0.5619310438632965
33,1.0,20.0,60.0,0.3,1000.0,128.0,0.610853910446167
34,1.0,20.0,60.0,0.3,10000.0,106.0,0.6532187461853027
35,1.0,20.0,60.0,0.5,0.0,95.0,0.6237308979034424
36,1.0,20.0,60.0,0.5,10.0,191.0,0.5985298156738281
37,1.0,20.0,60.0,0.5,100.0,227.0,0.579175591468811
38,1.0,20.0,60.0,0.5,1000.0,180.0,0.5922463834285736
39,1.0,20.0,60.0,0.5,10000.0,105.0,0.6754473745822906
40,1.0,20.0,60.0,0.7,0.0,101.0,0.6765674650669098
41,1.0,20.0,60.0,0.7,10.0,84.0,0.6830282509326935
42,1.0,20.0,60.0,0.7,100.0,227.0,0.620949774980545
43,1.0,20.0,60.0,0.7,1000.0,115.0,0.6675200462341309
44,1.0,20.0,60.0,0.7,10000.0,173.0,0.6481414437294006
45,1.0,20.0,80.0,0.3,0.0,109.0,0.595363974571228
46,1.0,20.0,80.0,0.3,10.0,173.0,0.5701331496238708
47,1.0,20.0,80.0,0.3,100.0,158.0,0.582568496465683
48,1.0,20.0,80.0,0.3,1000.0,108.0,0.609347939491272
49,1.0,20.0,80.0,0.3,10000.0,119.0,0.6271531879901886
50,1.0,20.0,80.0,0.5,0.0,112.0,0.6238416731357574
51,1.0,20.0,80.0,0.5,10.0,92.0,0.6826479732990265
52,1.0,20.0,80.0,0.5,100.0,108.0,0.6240736246109009
53,1.0,20.0,80.0,0.5,1000.0,119.0,0.6052752137184143
54,1.0,20.0,80.0,0.5,10000.0,90.0,0.6647671163082123
55,1.0,20.0,80.0,0.7,0.0,112.0,0.6503783762454987
56,1.0,20.0,80.0,0.7,10.0,91.0,0.7165388464927673
57,1.0,20.0,80.0,0.7,100.0,115.0,0.6563092172145844
58,1.0,20.0,80.0,0.7,1000.0,118.0,0.6560355424880981
59,1.0,20.0,80.0,0.7,10000.0,138.0,0.6486387848854065
60,1.0,20.0,100.0,0.3,0.0,66.0,0.675459235906601
61,1.0,20.0,100.0,0.3,10.0,100.0,0.6200507581233978
62,1.0,20.0,100.0,0.3,100.0,151.0,0.5806381106376648
63,1.0,20.0,100.0,0.3,1000.0,175.0,0.5820616483688354
64,1.0,20.0,100.0,0.3,10000.0,117.0,0.6331772208213806
65,1.0,20.0,100.0,0.5,0.0,137.0,0.6168403923511505
66,1.0,20.0,100.0,0.5,10.0,125.0,0.6225994229316711
67,1.0,20.0,100.0,0.5,100.0,153.0,0.6066513359546661
68,1.0,20.0,100.0,0.5,1000.0,108.0,0.6442654728889465
69,1.0,20.0,100.0,0.5,10000.0,110.0,0.6601788401603699
70,1.0,20.0,100.0,0.7,0.0,121.0,0.7192323505878448
71,1.0,20.0,100.0,0.7,10.0,139.0,0.6641894578933716
72,1.0,20.0,100.0,0.7,100.0,148.0,0.6541205048561096
73,1.0,20.0,100.0,0.7,1000.0,85.0,0.7193622887134552
74,1.0,20.0,100.0,0.7,10000.0,134.0,0.6774516403675079
75,1.0,20.0,120.0,0.3,0.0,141.0,0.6045868694782257
76,1.0,20.0,120.0,0.3,10.0,134.0,0.5891787111759186
77,1.0,20.0,120.0,0.3,100.0,114.0,0.5952894687652588
78,1.0,20.0,120.0,0.3,1000.0,100.0,0.6165889203548431
79,1.0,20.0,120.0,0.3,10000.0,95.0,0.7020088732242584
80,1.0,20.0,120.0,0.5,0.0,66.0,0.6648042798042297
81,1.0,20.0,120.0,0.5,10.0,133.0,0.6065340340137482
82,1.0,20.0,120.0,0.5,100.0,91.0,0.6707107126712799
83,1.0,20.0,120.0,0.5,1000.0,124.0,0.6265734732151031
84,1.0,20.0,120.0,0.5,10000.0,74.0,0.7370752096176147
85,1.0,20.0,120.0,0.7,0.0,105.0,0.7280877828598022
86,1.0,20.0,120.0,0.7,10.0,93.0,0.6716631650924683
87,1.0,20.0,120.0,0.7,100.0,54.0,0.817844420671463
88,1.0,20.0,120.0,0.7,1000.0,62.0,0.7806999385356903
89,1.0,20.0,120.0,0.7,10000.0,87.0,0.7430604696273804
90,2.0,20.0,20.0,0.3,0.0,154.0,0.5785233378410339
91,2.0,20.0,20.0,0.3,10.0,70.0,0.6722980737686157
92,2.0,20.0,20.0,0.3,100.0,179.0,0.5773060023784637
93,2.0,20.0,20.0,0.3,1000.0,202.0,0.589150607585907
94,2.0,20.0,20.0,0.3,10000.0,298.0,0.5348390191793442
95,2.0,20.0,20.0,0.5,0.0,114.0,0.6116980910301208
96,2.0,20.0,20.0,0.5,10.0,185.0,0.5979102551937103
97,2.0,20.0,20.0,0.5,100.0,135.0,0.6127213537693024
98,2.0,20.0,20.0,0.5,1000.0,110.0,0.6351800858974457
99,2.0,20.0,20.0,0.5,10000.0,181.0,0.5732505619525909
100,2.0,20.0,20.0,0.7,0.0,76.0,0.7230725884437561
101,2.0,20.0,20.0,0.7,10.0,112.0,0.6631378531455994
102,2.0,20.0,20.0,0.7,100.0,107.0,0.6239032745361328
103,2.0,20.0,20.0,0.7,1000.0,77.0,0.6959419250488281
104,2.0,20.0,20.0,0.7,10000.0,140.0,0.6195743083953857
105,2.0,20.0,40.0,0.3,0.0,162.0,0.577116072177887
106,2.0,20.0,40.0,0.3,10.0,158.0,0.5604714155197144
107,2.0,20.0,40.0,0.3,100.0,144.0,0.551113486289978
108,2.0,20.0,40.0,0.3,1000.0,251.0,0.529246062040329
109,2.0,20.0,40.0,0.3,10000.0,198.0,0.5791603922843933
110,2.0,20.0,40.0,0.5,0.0,96.0,0.6382816135883331
111,2.0,20.0,40.0,0.5,10.0,140.0,0.5684428513050079
112,2.0,20.0,40.0,0.5,100.0,169.0,0.5618495643138885
113,2.0,20.0,40.0,0.5,1000.0,133.0,0.5682142674922943
114,2.0,20.0,40.0,0.5,10000.0,79.0,0.657380610704422
115,2.0,20.0,40.0,0.7,0.0,120.0,0.6427681744098663
116,2.0,20.0,40.0,0.7,10.0,110.0,0.6100867986679077
117,2.0,20.0,40.0,0.7,100.0,153.0,0.6103340983390808
118,2.0,20.0,40.0,0.7,1000.0,166.0,0.5650610625743866
119,2.0,20.0,40.0,0.7,10000.0,126.0,0.6460219323635101
120,2.0,20.0,60.0,0.3,0.0,167.0,0.5711768865585327
121,2.0,20.0,60.0,0.3,10.0,164.0,0.5412547886371613
122,2.0,20.0,60.0,0.3,100.0,211.0,0.5543625354766846
123,2.0,20.0,60.0,0.3,1000.0,200.0,0.5422235727310181
124,2.0,20.0,60.0,0.3,10000.0,228.0,0.5443089604377747
