,num_layers,hidden1,hidden2,dropout,random_seed,epochs_trained,val_error
0,1.0,5.0,5.0,0.3,0.0,191.0,0.8206984599431356
1,1.0,5.0,5.0,0.3,10.0,131.0,0.7960569361845652
2,1.0,5.0,5.0,0.3,100.0,191.0,0.7855925659338633
3,1.0,5.0,5.0,0.3,1000.0,300.0,1.0209752420584361
4,1.0,5.0,5.0,0.3,10000.0,82.0,0.8527129689852396
5,1.0,5.0,5.0,0.5,0.0,188.0,0.9902117550373077
6,1.0,5.0,5.0,0.5,10.0,129.0,0.9574088652928671
7,1.0,5.0,5.0,0.5,100.0,67.0,1.0592662294705708
8,1.0,5.0,5.0,0.5,1000.0,196.0,1.181979199250539
9,1.0,5.0,5.0,0.5,10000.0,108.0,1.0492047369480133
10,1.0,5.0,5.0,0.7,0.0,142.0,1.236957311630249
11,1.0,5.0,5.0,0.7,10.0,117.0,1.1903660297393799
12,1.0,5.0,5.0,0.7,100.0,78.0,1.2443112134933472
13,1.0,5.0,5.0,0.7,1000.0,181.0,1.3381162683169048
14,1.0,5.0,5.0,0.7,10000.0,135.0,1.1972403128941853
15,1.0,5.0,10.0,0.3,0.0,158.0,0.7968396047751108
16,1.0,5.0,10.0,0.3,10.0,155.0,0.7587043642997742
17,1.0,5.0,10.0,0.3,100.0,176.0,0.729976107676824
18,1.0,5.0,10.0,0.3,1000.0,161.0,0.8260757327079773
19,1.0,5.0,10.0,0.3,10000.0,134.0,0.7513795793056488
20,1.0,5.0,10.0,0.5,0.0,163.0,0.884056568145752
21,1.0,5.0,10.0,0.5,10.0,129.0,0.8581851621468862
22,1.0,5.0,10.0,0.5,100.0,122.0,0.8570212324460348
23,1.0,5.0,10.0,0.5,1000.0,107.0,0.9209873974323273
24,1.0,5.0,10.0,0.5,10000.0,102.0,0.8475617667039236
25,1.0,5.0,10.0,0.7,0.0,123.0,1.0845731099446614
26,1.0,5.0,10.0,0.7,10.0,103.0,1.0714838703473408
27,1.0,5.0,10.0,0.7,100.0,140.0,1.1041285395622253
28,1.0,5.0,10.0,0.7,1000.0,145.0,1.0839621822039287
29,1.0,5.0,10.0,0.7,10000.0,109.0,1.049680511156718
30,1.0,5.0,15.0,0.3,0.0,186.0,0.7810954650243124
31,1.0,5.0,15.0,0.3,10.0,127.0,0.7443944613138834
32,1.0,5.0,15.0,0.3,100.0,122.0,0.7997171382109324
33,1.0,5.0,15.0,0.3,1000.0,120.0,0.8049038747946421
34,1.0,5.0,15.0,0.3,10000.0,135.0,0.7446787854035696
35,1.0,5.0,15.0,0.5,0.0,144.0,0.8917610943317413
36,1.0,5.0,15.0,0.5,10.0,151.0,0.8031777242819468
37,1.0,5.0,15.0,0.5,100.0,112.0,0.8781888286272684
38,1.0,5.0,15.0,0.5,1000.0,137.0,0.8599943021933237
39,1.0,5.0,15.0,0.5,10000.0,177.0,0.7941439350446066
40,1.0,5.0,15.0,0.7,0.0,123.0,1.0898022055625916
41,1.0,5.0,15.0,0.7,10.0,186.0,0.976039191087087
42,1.0,5.0,15.0,0.7,100.0,134.0,1.0464947024981182
43,1.0,5.0,15.0,0.7,1000.0,137.0,1.0326334834098816
44,1.0,5.0,15.0,0.7,10000.0,147.0,0.9885242382685343
45,1.0,5.0,20.0,0.3,0.0,128.0,0.7488724589347839
46,1.0,5.0,20.0,0.3,10.0,110.0,0.7611992657184601
47,1.0,5.0,20.0,0.3,100.0,159.0,0.7483881811300913
48,1.0,5.0,20.0,0.3,1000.0,150.0,0.7699521481990814
49,1.0,5.0,20.0,0.3,10000.0,142.0,0.7223890125751495
50,1.0,5.0,20.0,0.5,0.0,115.0,0.8412039577960968
51,1.0,5.0,20.0,0.5,10.0,110.0,0.8506736854712168
52,1.0,5.0,20.0,0.5,100.0,150.0,0.8104535937309265
53,1.0,5.0,20.0,0.5,1000.0,145.0,0.8522430459658304
54,1.0,5.0,20.0,0.5,10000.0,128.0,0.7914827167987823
55,1.0,5.0,20.0,0.7,0.0,120.0,1.0233496924241383
56,1.0,5.0,20.0,0.7,10.0,152.0,0.9938364525636038
57,1.0,5.0,20.0,0.7,100.0,130.0,0.9929090042908987
58,1.0,5.0,20.0,0.7,1000.0,144.0,0.9682580331961314
59,1.0,5.0,20.0,0.7,10000.0,155.0,0.930962065855662
60,1.0,5.0,25.0,0.3,0.0,139.0,0.736563911040624
61,1.0,5.0,25.0,0.3,10.0,91.0,0.7785095572471619
62,1.0,5.0,25.0,0.3,100.0,114.0,0.755394289890925
63,1.0,5.0,25.0,0.3,1000.0,159.0,0.7852588295936584
64,1.0,5.0,25.0,0.3,10000.0,132.0,0.7798596223195394
65,1.0,5.0,25.0,0.5,0.0,184.0,0.7552760342756907
66,1.0,5.0,25.0,0.5,10.0,96.0,0.8866871496041616
67,1.0,5.0,25.0,0.5,100.0,154.0,0.7913546661535898
68,1.0,5.0,25.0,0.5,1000.0,167.0,0.8408374389012655
69,1.0,5.0,25.0,0.5,10000.0,176.0,0.7557823757330576
70,1.0,5.0,25.0,0.7,0.0,113.0,0.9964350759983063
71,1.0,5.0,25.0,0.7,10.0,152.0,1.020292580127716
72,1.0,5.0,25.0,0.7,100.0,168.0,0.9676858186721802
73,1.0,5.0,25.0,0.7,1000.0,123.0,1.0043780008951824
74,1.0,5.0,25.0,0.7,10000.0,107.0,0.9565229217211405
75,1.0,5.0,30.0,0.3,0.0,137.0,0.7604348063468933
76,1.0,5.0,30.0,0.3,10.0,127.0,0.7901479502518972
77,1.0,5.0,30.0,0.3,100.0,38.0,0.9171943565209707
78,1.0,5.0,30.0,0.3,1000.0,154.0,0.7713013688723246
79,1.0,5.0,30.0,0.3,10000.0,126.0,0.7801557977994283
80,1.0,5.0,30.0,0.5,0.0,113.0,0.8252849181493124
81,1.0,5.0,30.0,0.5,10.0,62.0,0.9461687902609507
82,1.0,5.0,30.0,0.5,100.0,116.0,0.8486983875433604
83,1.0,5.0,30.0,0.5,1000.0,93.0,0.8779545823733012
84,1.0,5.0,30.0,0.5,10000.0,100.0,0.8628737032413483
85,1.0,5.0,30.0,0.7,0.0,103.0,0.9593846201896667
86,1.0,5.0,30.0,0.7,10.0,40.0,1.126645068327586
87,1.0,5.0,30.0,0.7,100.0,114.0,0.9935274720191956
88,1.0,5.0,30.0,0.7,1000.0,93.0,1.0441957414150238
89,1.0,5.0,30.0,0.7,10000.0,159.0,0.9571143190066019
90,1.0,5.0,35.0,0.3,0.0,138.0,0.8045509457588196
91,1.0,5.0,35.0,0.3,10.0,35.0,0.8980630139509836
92,1.0,5.0,35.0,0.3,100.0,114.0,0.7328301469484965
93,1.0,5.0,35.0,0.3,1000.0,96.0,0.782815565665563
