,baseline_5yr_layer_1_corr,baseline_5yr_layer_2_corr,baseline_10yr_layer_1_corr,baseline_10yr_layer_2_corr,baseline_15yr_layer_1_corr,baseline_15yr_layer_2_corr,baseline_20yr_layer_1_corr,baseline_20yr_layer_2_corr,baseline_25yr_layer_1_corr,baseline_25yr_layer_2_corr,baseline_30yr_layer_1_corr,baseline_30yr_layer_2_corr
307,0.19459419262180877,0.3263954515835271,0.1965423235340043,0.40541335949920043,0.43079473911641525,0.46839897037896,0.28324212219219097,0.2724275279092091,0.4605969254524759,0.38702428072074707,0.4528020919371722,0.46554709980887343
1067,0.10298249411896797,0.03587777961461795,0.32152183444327803,0.47156073370387436,0.615732733788585,0.7360471379465928,0.6203351838243625,0.6721534364378305,0.6533613796929213,0.7963268430065322,0.7420941497899883,0.7763468984712714
938,-0.007884261420524423,0.283127281627073,0.24429588864002313,0.23346786229422004,0.45823111615893564,0.5911005749272494,0.5921322837093093,0.6154938960024776,0.6167729819383653,0.617722599735687,0.6276268587255562,0.6059772152763675
601,0.10762106522199527,0.03198118344546329,0.15465733217808658,0.15398830362095997,0.2943985315803974,0.3317906639919933,0.30416159636900875,0.3330204061597409,0.3359704077559006,0.32938369260102346,0.3469289275424056,0.37845931535934063
293,0.43247607545811284,0.5395779827269204,0.5025333755134633,0.5048823961464999,0.4083920660052653,0.33204657069371013,0.41852053835627867,0.4027404019059,0.41275609474616454,0.4152817624918497,0.441491767753236,0.37941483445030977
1112,0.2308176543721438,0.2678661287146647,0.41489382542500836,0.5091753921280636,0.5510570604658217,0.7827758818761678,0.6915388314376544,0.7620823121298481,0.8174015565594404,0.8404625703784605,0.860709043762897,0.8476022609958411
1683,0.21103860457288454,-0.21813596905392377,0.588623399856285,0.5334500420415732,0.5279745303813793,0.7354930067677389,0.8242859199168665,0.8508959217345964,0.8623002291693153,0.8762778198682775,0.8920273616287429,0.8603839241064483
1654,0.31897755143046136,0.0767508663288736,0.7241037517514819,0.7354135165062126,0.7759930993436414,0.844081280884292,0.849976950620736,0.8935820595535378,0.8778193348269869,0.9029490164498908,0.9444520132594898,0.9413956514417361
1777,-0.0014687144161737162,0.0001505385824895744,-0.0007570247726626642,0.0010945626940209788,-0.00032722140911275815,-0.005458879792850246,-0.0028310191396808564,-0.008515758636852533,-0.002758645371353176,-0.03179298993062956,-0.005507239828924191,-0.0022285625265166557
893,0.07985531296287383,0.312604400731174,0.15831799422708195,0.06511926335933532,0.2315626546874935,0.28463367730754313,0.16475100059780465,0.2563978109667601,0.38875139835043604,0.19029054115852695,0.3338698583553693,0.28963549156849455
