,layer_1_pooled_corr,layer_2_pooled_corr
307,0.3908691156655828,0.6008437403132056
1067,-0.11708509093259921,-0.21784840449216353
938,0.07641477996399235,-0.02593756413682672
601,-0.24987225954981124,-0.07864514137342139
293,0.2933560934494251,-0.14114313600572334
1112,-0.32553448088019843,-0.06606922751722534
1683,0.08545015931985246,-0.048962308713656
1654,-0.10898194606067775,0.19816867292070398
1777,-0.0008071321625183972,0.013924868871881718
893,-0.04835749724533775,0.03925886762069879
451,-0.05894807900563467,-0.019572355894433797
60,-0.6941865497025226,-0.3871091340998658
1714,0.0020064065801567673,-0.19936418987545512
393,-0.1981900974185211,-0.48783757970983305
529,0.01746544467858388,-0.02920947874208316
1249,-0.032536216952326856,0.14551681784478546
399,0.06243610746776864,0.4689533396032426
1042,0.2869912195874591,-0.15292540049521433
884,0.059003953652818894,0.11628366781496129
837,-0.30744476740190546,-0.10399308652349147
373,0.5237448230570095,0.4639142141832817
362,0.17123456930016745,0.07159251394155809
416,0.020371686577872635,0.07848009308380889
1587,-0.34939703307594216,0.13054225606856404
1026,0.5040425515038977,-0.00012438979029379593
1741,0.061584452176714745,0.06401534186167779
1864,0.207922758025452,0.06203219567267757
1753,0.0978054456393249,-0.14210200966744196
297,0.3515778412983122,0.6454650994497714
1703,-0.16019565845595507,-0.30785573304328856
488,0.4711146847428033,0.4474348273361762
541,0.2134363423152779,0.19034797072660248
63,-0.44568173045928955,0.014294203467452112
574,0.4430247892318655,0.17727892874318146
292,-0.04514860800642719,-0.29764621528423724
