param_id,num_layers,hidden1,hidden2,dropout,epochs_trained,val_error
66,1.0,40.0,40.0,0.3,58.0,0.3697906187735498
30,1.0,35.0,30.0,0.3,53.0,0.373530993445052
129,1.0,50.0,45.0,0.3,62.666666666666664,0.37632609624415636
0,1.0,30.0,30.0,0.3,60.666666666666664,0.3775353785086837
9,1.0,30.0,45.0,0.3,54.333333333333336,0.3783628762596183
39,1.0,35.0,45.0,0.3,72.33333333333333,0.38086333726015353
93,1.0,45.0,35.0,0.3,64.66666666666667,0.3808825673121545
120,1.0,50.0,30.0,0.3,61.0,0.38158286021401483
123,1.0,50.0,35.0,0.3,53.0,0.38229461619630456
116,2.0,45.0,45.0,0.6999999999999998,84.0,0.3823718666616413
132,1.0,50.0,50.0,0.3,48.0,0.3824498183611366
94,1.0,45.0,35.0,0.5,85.33333333333333,0.38321921105186135
3,1.0,30.0,35.0,0.3,67.33333333333333,0.38619770771927303
67,1.0,40.0,40.0,0.5,64.33333333333333,0.3881732403404183
121,1.0,50.0,30.0,0.5,66.66666666666667,0.3891240036528971
40,1.0,35.0,45.0,0.5,73.33333333333333,0.39046276950587827
4,1.0,30.0,35.0,0.5,85.66666666666667,0.39118082790325087
31,1.0,35.0,30.0,0.5,68.0,0.39224865660071373
133,1.0,50.0,50.0,0.5,65.33333333333333,0.392604089445538
42,1.0,35.0,50.0,0.3,61.666666666666664,0.3931446354836225
139,2.0,50.0,35.0,0.5,77.33333333333333,0.39502951368275613
12,1.0,30.0,50.0,0.3,55.0,0.3958915314740605
126,1.0,50.0,40.0,0.3,47.0,0.39616558131658364
25,2.0,30.0,45.0,0.5,61.333333333333336,0.3966126029069225
60,1.0,40.0,30.0,0.3,56.0,0.3967486578039825
33,1.0,35.0,35.0,0.3,53.0,0.3973156509196593
10,1.0,30.0,45.0,0.5,66.33333333333333,0.3974453975550003
90,1.0,45.0,30.0,0.3,66.0,0.3988292398345139
69,1.0,40.0,45.0,0.3,52.333333333333336,0.3990442130921616
127,1.0,50.0,40.0,0.5,66.66666666666667,0.40033987216237515
75,2.0,40.0,30.0,0.3,55.666666666666664,0.40097525270862705
102,1.0,45.0,50.0,0.3,60.666666666666664,0.4011317459452483
24,2.0,30.0,45.0,0.3,52.333333333333336,0.4036386126859321
124,1.0,50.0,35.0,0.5,62.0,0.40378997681869394
6,1.0,30.0,40.0,0.3,50.666666666666664,0.40399420996093083
87,2.0,40.0,50.0,0.3,60.333333333333336,0.40551370066694087
141,2.0,50.0,40.0,0.3,64.0,0.40634865562121075
118,2.0,45.0,50.0,0.5,62.0,0.40635491348803043
97,1.0,45.0,40.0,0.5,76.66666666666667,0.4067982136168413
73,1.0,40.0,50.0,0.5,68.0,0.407873201287455
78,2.0,40.0,35.0,0.3,58.666666666666664,0.40868646786030793
54,2.0,35.0,45.0,0.3,46.666666666666664,0.4092535289625327
36,1.0,35.0,40.0,0.3,52.333333333333336,0.40989483447952396
79,2.0,40.0,35.0,0.5,51.333333333333336,0.4103407446398503
130,1.0,50.0,45.0,0.5,58.0,0.4104464614970817
7,1.0,30.0,40.0,0.5,89.33333333333333,0.4108198778703809
85,2.0,40.0,45.0,0.5,61.0,0.41188543165723474
48,2.0,35.0,35.0,0.3,50.333333333333336,0.4120223982673552
63,1.0,40.0,35.0,0.3,74.33333333333333,0.4123292365628812
1,1.0,30.0,30.0,0.5,69.33333333333333,0.4125766282280286
49,2.0,35.0,35.0,0.5,56.0,0.4125873474921617
138,2.0,50.0,35.0,0.3,43.333333333333336,0.4147107315560182
27,2.0,30.0,50.0,0.3,57.666666666666664,0.4153274583319822
56,2.0,35.0,45.0,0.6999999999999998,65.66666666666667,0.41597683179295725
43,1.0,35.0,50.0,0.5,64.66666666666667,0.4164678753974537
58,2.0,35.0,50.0,0.5,55.333333333333336,0.4193049850873649
134,1.0,50.0,50.0,0.6999999999999998,56.0,0.4193541758383314
147,2.0,50.0,50.0,0.3,48.666666666666664,0.4194256072450015
144,2.0,50.0,45.0,0.3,55.0,0.42101237943602926
72,1.0,40.0,50.0,0.3,39.333333333333336,0.42331586860948134
64,1.0,40.0,35.0,0.5,77.0,0.4235477216748727
84,2.0,40.0,45.0,0.3,50.333333333333336,0.4254922294575307
135,2.0,50.0,30.0,0.3,45.0,0.42617138889100814
91,1.0,45.0,30.0,0.5,49.666666666666664,0.4265561335616641
34,1.0,35.0,35.0,0.5,44.0,0.4268805142492056
57,2.0,35.0,50.0,0.3,43.333333333333336,0.42765317070815295
88,2.0,40.0,50.0,0.5,58.0,0.4280015816912055
19,2.0,30.0,35.0,0.5,59.666666666666664,0.42801299297975165
96,1.0,45.0,40.0,0.3,45.333333333333336,0.42924431328558255
108,2.0,45.0,35.0,0.3,53.333333333333336,0.4295937373406357
136,2.0,50.0,30.0,0.5,50.0,0.4318319132758511
99,1.0,45.0,45.0,0.3,41.666666666666664,0.43264025811933804
18,2.0,30.0,35.0,0.3,53.0,0.4329178527825408
37,1.0,35.0,40.0,0.5,59.333333333333336,0.433179452497926
