param_id,num_layers,hidden1,hidden2,dropout,epochs_trained,val_error
528,2.0,45.0,35.0,0.3,104.2,0.0032366089076579395
327,1.0,30.0,50.0,0.3,117.8,0.00325185550900638
561,1.0,50.0,40.0,0.3,131.0,0.00325248998148402
324,1.0,30.0,45.0,0.3,122.8,0.0032562846012296398
384,1.0,35.0,45.0,0.3,106.4,0.00327883207064584
591,2.0,50.0,40.0,0.3,93.8,0.00329038926550606
564,1.0,50.0,45.0,0.3,112.8,0.00331612681475228
444,1.0,40.0,45.0,0.3,97.0,0.0033300248420952
447,1.0,40.0,50.0,0.3,95.8,0.00333235588186648
507,1.0,45.0,50.0,0.3,123.2,0.00333256552112282
345,2.0,30.0,30.0,0.3,108.0,0.00333762828862134
387,1.0,35.0,50.0,0.3,105.4,0.00335254011539892
411,2.0,35.0,40.0,0.3,106.0,0.0033532077664858205
504,1.0,45.0,45.0,0.3,116.0,0.0033544680622677203
498,1.0,45.0,35.0,0.3,139.4,0.00335894268791884
312,1.0,30.0,25.0,0.3,154.8,0.00336019637470594
462,2.0,40.0,25.0,0.3,97.8,0.0033749149471986603
597,2.0,50.0,50.0,0.3,91.4,0.0033758117361381602
372,1.0,35.0,25.0,0.3,143.0,0.00338092073798174
579,2.0,50.0,20.0,0.3,104.0,0.00338127018015556
219,2.0,20.0,20.0,0.3,134.4,0.00338307427543134
594,2.0,50.0,45.0,0.3,89.4,0.00340859359615324
471,2.0,40.0,40.0,0.3,83.6,0.00341078080527946
381,1.0,35.0,40.0,0.3,108.8,0.0034115299902623
255,1.0,25.0,30.0,0.3,126.2,0.00341191665744792
264,1.0,25.0,45.0,0.3,125.0,0.00341741241281848
318,1.0,30.0,35.0,0.3,94.4,0.00344241670488064
282,2.0,25.0,25.0,0.3,110.0,0.00344471746308648
297,2.0,25.0,50.0,0.3,88.4,0.003445389465196
580,2.0,50.0,20.0,0.5,107.0,0.0034513716042662403
441,1.0,40.0,40.0,0.3,119.2,0.0034537898124350403
516,2.0,45.0,15.0,0.3,109.0,0.00345512587179346
513,2.0,45.0,10.0,0.3,105.2,0.0034601066050526596
525,2.0,45.0,30.0,0.3,99.2,0.0034602679093949803
375,1.0,35.0,30.0,0.3,118.0,0.0034606618864927
321,1.0,30.0,40.0,0.3,107.6,0.0034610354768422396
567,1.0,50.0,50.0,0.3,76.4,0.00346356092195488
522,2.0,45.0,25.0,0.3,104.2,0.0034656351725667204
315,1.0,30.0,30.0,0.3,115.4,0.00346699465104996
582,2.0,50.0,25.0,0.3,88.0,0.0034836123370041
207,1.0,20.0,50.0,0.3,113.6,0.0034920029419784
267,1.0,25.0,50.0,0.3,91.6,0.00349360722514874
222,2.0,20.0,25.0,0.3,86.4,0.0034958398032661404
492,1.0,45.0,25.0,0.3,112.4,0.0035076896150712396
534,2.0,45.0,45.0,0.3,90.4,0.0035118291474645403
399,2.0,35.0,20.0,0.3,106.0,0.00351641723536882
558,1.0,50.0,35.0,0.3,105.8,0.0035171816921016202
408,2.0,35.0,35.0,0.3,81.2,0.00351968463898322
495,1.0,45.0,30.0,0.3,115.6,0.00352033435240928
366,1.0,35.0,15.0,0.3,105.0,0.00352317450306144
249,1.0,25.0,20.0,0.3,102.6,0.00353155060050386
