,num_layers,hidden1,hidden2,dropout,random_seed,epochs_trained,val_error
0,1.0,5.0,5.0,0.3,0.0,115.0,0.004055013598796601
1,1.0,5.0,5.0,0.3,10.0,108.0,0.0044272599382869275
2,1.0,5.0,5.0,0.3,100.0,175.0,0.005156816604236762
3,1.0,5.0,5.0,0.3,1000.0,11.0,0.009203714114846662
4,1.0,5.0,5.0,0.3,10000.0,212.0,0.004615673470349672
5,1.0,5.0,5.0,0.5,0.0,149.0,0.005486625392222777
6,1.0,5.0,5.0,0.5,10.0,125.0,0.0050516210224789875
7,1.0,5.0,5.0,0.5,100.0,108.0,0.009231608293096846
8,1.0,5.0,5.0,0.5,1000.0,11.0,0.009211042682485035
9,1.0,5.0,5.0,0.5,10000.0,223.0,0.005806662986287847
10,1.0,5.0,5.0,0.7,0.0,33.0,0.009189737572645148
11,1.0,5.0,5.0,0.7,10.0,42.0,0.009153199944800386
12,1.0,5.0,5.0,0.7,100.0,150.0,0.009172669553663582
13,1.0,5.0,5.0,0.7,1000.0,11.0,0.009191876830300316
14,1.0,5.0,5.0,0.7,10000.0,292.0,0.0076831226906506345
15,1.0,5.0,10.0,0.3,0.0,144.0,0.004119224967629028
16,1.0,5.0,10.0,0.3,10.0,127.0,0.004206328235644226
17,1.0,5.0,10.0,0.3,100.0,35.0,0.009171190952959781
18,1.0,5.0,10.0,0.3,1000.0,119.0,0.00463702871153752
19,1.0,5.0,10.0,0.3,10000.0,109.0,0.004116310291768362
20,1.0,5.0,10.0,0.5,0.0,126.0,0.004458970346604474
21,1.0,5.0,10.0,0.5,10.0,134.0,0.0048084801043539
22,1.0,5.0,10.0,0.5,100.0,154.0,0.005708516842181173
23,1.0,5.0,10.0,0.5,1000.0,245.0,0.005748095718445256
24,1.0,5.0,10.0,0.5,10000.0,26.0,0.009199051768518984
25,1.0,5.0,10.0,0.7,0.0,166.0,0.006115637084197563
26,1.0,5.0,10.0,0.7,10.0,121.0,0.009181035915389657
27,1.0,5.0,10.0,0.7,100.0,36.0,0.009182010602671653
28,1.0,5.0,10.0,0.7,1000.0,127.0,0.009210160477474952
29,1.0,5.0,10.0,0.7,10000.0,23.0,0.009307991786045022
30,1.0,5.0,15.0,0.3,0.0,12.0,0.00894226182329779
31,1.0,5.0,15.0,0.3,10.0,12.0,0.009117884076355645
32,1.0,5.0,15.0,0.3,100.0,71.0,0.004020523464229579
33,1.0,5.0,15.0,0.3,1000.0,15.0,0.00902242933322365
34,1.0,5.0,15.0,0.3,10000.0,54.0,0.004572153688059188
35,1.0,5.0,15.0,0.5,0.0,30.0,0.00902624471927993
36,1.0,5.0,15.0,0.5,10.0,13.0,0.009212803570941711
37,1.0,5.0,15.0,0.5,100.0,103.0,0.004493385664924669
38,1.0,5.0,15.0,0.5,1000.0,16.0,0.009095692900397504
39,1.0,5.0,15.0,0.5,10000.0,54.0,0.005718618480993125
40,1.0,5.0,15.0,0.7,0.0,23.0,0.009115788746081913
41,1.0,5.0,15.0,0.7,10.0,33.0,0.009121603254849711
42,1.0,5.0,15.0,0.7,100.0,45.0,0.009165247494820505
43,1.0,5.0,15.0,0.7,1000.0,24.0,0.009154136098610858
44,1.0,5.0,15.0,0.7,10000.0,129.0,0.006053901874111034
45,1.0,5.0,20.0,0.3,0.0,127.0,0.0039369980319558335
46,1.0,5.0,20.0,0.3,10.0,86.0,0.004487042058220443
47,1.0,5.0,20.0,0.3,100.0,36.0,0.008783836524041059
48,1.0,5.0,20.0,0.3,1000.0,136.0,0.003880028326724035
49,1.0,5.0,20.0,0.3,10000.0,178.0,0.004276621203947191
50,1.0,5.0,20.0,0.5,0.0,150.0,0.005350265875070666
51,1.0,5.0,20.0,0.5,10.0,37.0,0.009081176423933357
52,1.0,5.0,20.0,0.5,100.0,176.0,0.0047511584804548574
53,1.0,5.0,20.0,0.5,1000.0,13.0,0.009151124696169669
54,1.0,5.0,20.0,0.5,10000.0,250.0,0.004769600864771443
55,1.0,5.0,20.0,0.7,0.0,84.0,0.00811160019172045
56,1.0,5.0,20.0,0.7,10.0,15.0,0.009232797766647613
57,1.0,5.0,20.0,0.7,100.0,84.0,0.009195985233721634
58,1.0,5.0,20.0,0.7,1000.0,13.0,0.009181594592519104
59,1.0,5.0,20.0,0.7,10000.0,133.0,0.0069697931661115336
60,1.0,5.0,25.0,0.3,0.0,107.0,0.004178241453094718
61,1.0,5.0,25.0,0.3,10.0,166.0,0.004038284028259416
62,1.0,5.0,25.0,0.3,100.0,75.0,0.005039862095145509
63,1.0,5.0,25.0,0.3,1000.0,83.0,0.004150587526964955
64,1.0,5.0,25.0,0.3,10000.0,62.0,0.004341176138647522
65,1.0,5.0,25.0,0.5,0.0,107.0,0.004753967470605858
66,1.0,5.0,25.0,0.5,10.0,205.0,0.0043467694146481035
67,1.0,5.0,25.0,0.5,100.0,51.0,0.006801337270492998
68,1.0,5.0,25.0,0.5,1000.0,102.0,0.00452227992839956
69,1.0,5.0,25.0,0.5,10000.0,129.0,0.004260679857300905
70,1.0,5.0,25.0,0.7,0.0,17.0,0.009184634987226067
71,1.0,5.0,25.0,0.7,10.0,70.0,0.009165299222028503
72,1.0,5.0,25.0,0.7,100.0,12.0,0.00964548348080522
73,1.0,5.0,25.0,0.7,1000.0,22.0,0.009154456813121215
74,1.0,5.0,25.0,0.7,10000.0,100.0,0.005820917140226811
75,1.0,5.0,30.0,0.3,0.0,14.0,0.00881554835359566
76,1.0,5.0,30.0,0.3,10.0,114.0,0.004451273266264859
77,1.0,5.0,30.0,0.3,100.0,11.0,0.008916232036426663
78,1.0,5.0,30.0,0.3,1000.0,13.0,0.009291973522825478
79,1.0,5.0,30.0,0.3,10000.0,55.0,0.004407046872074716
80,1.0,5.0,30.0,0.5,0.0,11.0,0.008982945985432403
81,1.0,5.0,30.0,0.5,10.0,69.0,0.005147796798458633
82,1.0,5.0,30.0,0.5,100.0,12.0,0.009055550869864723
83,1.0,5.0,30.0,0.5,1000.0,86.0,0.00515894253718822
84,1.0,5.0,30.0,0.5,10000.0,12.0,0.009134168717234084
85,1.0,5.0,30.0,0.7,0.0,204.0,0.0053193640245202305
86,1.0,5.0,30.0,0.7,10.0,183.0,0.00585169443123353
87,1.0,5.0,30.0,0.7,100.0,14.0,0.009106846274031946
88,1.0,5.0,30.0,0.7,1000.0,87.0,0.006781570652189354
89,1.0,5.0,30.0,0.7,10000.0,60.0,0.00739518196011583
