param_id,num_layers,hidden1,hidden2,dropout,epochs_trained,val_error
282,2.0,25.0,25.0,0.3,137.0,0.04239856560404098
591,2.0,50.0,40.0,0.3,95.4,0.04266752166052656
387,1.0,35.0,50.0,0.3,114.6,0.04275923827663062
462,2.0,40.0,25.0,0.3,124.8,0.04292960340778028
528,2.0,45.0,35.0,0.3,119.4,0.04295925072704748
564,1.0,50.0,45.0,0.3,99.6,0.043338907354821724
597,2.0,50.0,50.0,0.3,107.8,0.0434998060887058
372,1.0,35.0,25.0,0.3,122.8,0.04351591486483806
441,1.0,40.0,40.0,0.3,121.2,0.04356508900721864
531,2.0,45.0,40.0,0.3,96.6,0.04357574330642814
459,2.0,40.0,20.0,0.3,104.2,0.04388871810709434
516,2.0,45.0,15.0,0.3,103.2,0.043948101749022764
447,1.0,40.0,50.0,0.3,78.6,0.04395069439585007
267,1.0,25.0,50.0,0.3,101.0,0.043973105524977
555,1.0,50.0,30.0,0.3,97.2,0.04399271231765542
261,1.0,25.0,40.0,0.3,141.0,0.04400539419924214
375,1.0,35.0,30.0,0.3,117.4,0.0440674398094415
585,2.0,50.0,30.0,0.3,107.2,0.044078649487346376
384,1.0,35.0,45.0,0.3,95.2,0.044084204360842635
417,2.0,35.0,50.0,0.3,110.4,0.04411172311132146
579,2.0,50.0,20.0,0.3,109.6,0.044120883196592284
312,1.0,30.0,25.0,0.3,123.0,0.04415077231824396
324,1.0,30.0,45.0,0.3,94.8,0.044304120230178004
498,1.0,45.0,35.0,0.3,118.6,0.044342405907809676
595,2.0,50.0,45.0,0.5,121.4,0.04435511042053496
567,1.0,50.0,50.0,0.3,89.4,0.04438142854099468
465,2.0,40.0,30.0,0.3,93.4,0.0444162505989273
522,2.0,45.0,25.0,0.3,99.2,0.04459312409162518
435,1.0,40.0,30.0,0.3,103.0,0.0445986064150929
327,1.0,30.0,50.0,0.3,98.0,0.044603895085553256
315,1.0,30.0,30.0,0.3,109.2,0.04460557059695318
507,1.0,45.0,50.0,0.3,100.8,0.044619892785946504
471,2.0,40.0,40.0,0.3,97.6,0.04474235773086544
258,1.0,25.0,35.0,0.3,118.4,0.044826831233998096
321,1.0,30.0,40.0,0.3,103.6,0.04485602959369616
297,2.0,25.0,50.0,0.3,106.8,0.04486848047624028
165,2.0,15.0,30.0,0.3,129.2,0.044883833639323654
309,1.0,30.0,20.0,0.3,113.4,0.0448866626558204
444,1.0,40.0,45.0,0.3,85.0,0.04492384437471622
504,1.0,45.0,45.0,0.3,96.4,0.04492754886547718
381,1.0,35.0,40.0,0.3,107.6,0.045000127671907295
588,2.0,50.0,35.0,0.3,84.6,0.045007390435785
402,2.0,35.0,25.0,0.3,114.4,0.04502008234461144
207,1.0,20.0,50.0,0.3,110.2,0.04502337295562024
291,2.0,25.0,40.0,0.3,112.6,0.04503465179974828
408,2.0,35.0,35.0,0.3,88.6,0.04511891705915328
204,1.0,20.0,45.0,0.3,104.4,0.04512077836940684
264,1.0,25.0,45.0,0.3,107.6,0.0451268315936128
561,1.0,50.0,40.0,0.3,105.6,0.04512894901757434
288,2.0,25.0,35.0,0.3,121.4,0.0451768953663607
348,2.0,30.0,35.0,0.3,111.4,0.04517779226104414
495,1.0,45.0,30.0,0.3,101.8,0.04521814535061512
594,2.0,50.0,45.0,0.3,82.6,0.045242338255047775
534,2.0,45.0,45.0,0.3,80.2,0.045329312576601846
345,2.0,30.0,30.0,0.3,103.4,0.04533798110981778
438,1.0,40.0,35.0,0.3,108.4,0.045342451737572696
474,2.0,40.0,45.0,0.3,80.4,0.0453660250951846
411,2.0,35.0,40.0,0.3,94.6,0.0453999755904078
477,2.0,40.0,50.0,0.3,89.6,0.045428389341880815
222,2.0,20.0,25.0,0.3,103.8,0.04555809466789162
366,1.0,35.0,15.0,0.3,97.8,0.04557752323647336
318,1.0,30.0,35.0,0.3,89.0,0.04562805009384946
489,1.0,45.0,20.0,0.3,110.0,0.04565830671538904
414,2.0,35.0,45.0,0.3,90.0,0.045668541981528143
198,1.0,20.0,35.0,0.3,102.6,0.04568094980592524
378,1.0,35.0,35.0,0.3,79.8,0.04573294585570688
351,2.0,30.0,40.0,0.3,89.8,0.04573471002901588
592,2.0,50.0,40.0,0.5,88.2,0.045763077152272
519,2.0,45.0,20.0,0.3,89.6,0.04582611847048002
249,1.0,25.0,20.0,0.3,117.0,0.045880991841355925
255,1.0,25.0,30.0,0.3,122.8,0.0458822870937486
405,2.0,35.0,30.0,0.3,90.2,0.04592855321243404
192,1.0,20.0,25.0,0.3,145.0,0.04595272730415062
537,2.0,45.0,50.0,0.3,72.2,0.04600245387603834
369,1.0,35.0,20.0,0.3,90.0,0.04603922075281538
486,1.0,45.0,15.0,0.3,89.8,0.04606149907534318
252,1.0,25.0,25.0,0.3,131.8,0.0460812442625562
99,2.0,10.0,20.0,0.3,138.0,0.04612247965609028
195,1.0,20.0,30.0,0.3,118.6,0.04617940721412496
549,1.0,50.0,20.0,0.3,99.0,0.04627854442223902
546,1.0,50.0,15.0,0.3,88.2,0.04628627380977072
582,2.0,50.0,25.0,0.3,79.6,0.046312314023574164
354,2.0,30.0,45.0,0.3,75.2,0.0463425067874292
144,1.0,15.0,45.0,0.3,117.4,0.04644323022415234
396,2.0,35.0,15.0,0.3,83.4,0.04644352986166872
558,1.0,50.0,35.0,0.3,89.4,0.0464446339445809
532,2.0,45.0,40.0,0.5,87.0,0.04644691652307904
429,1.0,40.0,20.0,0.3,78.0,0.04646616376315548
445,1.0,40.0,45.0,0.5,89.4,0.0464867912853757
393,2.0,35.0,10.0,0.3,81.6,0.04649005358417824
225,2.0,20.0,30.0,0.3,94.6,0.046523737876365524
468,2.0,40.0,35.0,0.3,80.4,0.04656119709834452
246,1.0,25.0,15.0,0.3,105.4,0.0465966782843073
399,2.0,35.0,20.0,0.3,95.8,0.04659680832798278
363,1.0,35.0,10.0,0.3,100.0,0.04660864261289432
525,2.0,45.0,30.0,0.3,77.4,0.04663481923441088
442,1.0,40.0,40.0,0.5,108.8,0.04664573380723594
231,2.0,20.0,40.0,0.3,101.6,0.0466818949828545
147,1.0,15.0,50.0,0.3,119.2,0.04668427497769392
339,2.0,30.0,20.0,0.3,89.6,0.04669345449656246
156,2.0,15.0,15.0,0.3,97.2,0.046718511916697
228,2.0,20.0,35.0,0.3,100.8,0.04672705878814058
529,2.0,45.0,35.0,0.5,91.8,0.04676915515835082
201,1.0,20.0,40.0,0.3,97.4,0.04677430897330242
234,2.0,20.0,45.0,0.3,95.8,0.04678064333274956
448,1.0,40.0,50.0,0.5,80.6,0.04688431393976008
219,2.0,20.0,20.0,0.3,119.4,0.04691453340152896
576,2.0,50.0,15.0,0.3,71.0,0.04692937492703392
132,1.0,15.0,25.0,0.3,130.6,0.04698232095688576
426,1.0,40.0,15.0,0.3,102.8,0.04700336664294198
483,1.0,45.0,10.0,0.3,88.6,0.0470358177709082
336,2.0,30.0,15.0,0.3,87.8,0.04708343443150318
268,1.0,25.0,50.0,0.5,109.6,0.047094406218578376
189,1.0,20.0,20.0,0.3,96.4,0.04710612955192722
141,1.0,15.0,40.0,0.3,107.0,0.0471689825567106
78,1.0,10.0,35.0,0.3,121.8,0.04716994715854518
436,1.0,40.0,30.0,0.5,96.8,0.047185760798553564
568,1.0,50.0,50.0,0.5,89.0,0.0471962808941801
472,2.0,40.0,40.0,0.5,96.4,0.047264992756148164
559,1.0,50.0,35.0,0.5,103.4,0.047280019956330396
523,2.0,45.0,25.0,0.5,82.2,0.0472814625749985
306,1.0,30.0,15.0,0.3,89.6,0.04732851274311538
319,1.0,30.0,35.0,0.5,100.6,0.04733017385005948
298,2.0,25.0,50.0,0.5,78.6,0.04733482953160996
