,num_layers,hidden1,hidden2,dropout,random_seed,epochs_trained,val_error
0,1.0,5.0,5.0,0.3,0.0,194.0,0.04364629074310263
1,1.0,5.0,5.0,0.3,10.0,98.0,0.0552149952078859
2,1.0,5.0,5.0,0.3,100.0,26.0,0.07828930237640937
3,1.0,5.0,5.0,0.3,1000.0,177.0,0.05152907160421213
4,1.0,5.0,5.0,0.3,10000.0,157.0,0.05287047879149517
5,1.0,5.0,5.0,0.5,0.0,163.0,0.05760150092343489
6,1.0,5.0,5.0,0.5,10.0,38.0,0.07067461963742971
7,1.0,5.0,5.0,0.5,100.0,300.0,
8,1.0,5.0,5.0,0.5,1000.0,177.0,0.05823909739653269
9,1.0,5.0,5.0,0.5,10000.0,176.0,0.05909650648633639
10,1.0,5.0,5.0,0.7,0.0,200.0,0.06378679412106673
11,1.0,5.0,5.0,0.7,10.0,45.0,0.07080507092177868
12,1.0,5.0,5.0,0.7,100.0,300.0,
13,1.0,5.0,5.0,0.7,1000.0,35.0,0.07087839301675558
14,1.0,5.0,5.0,0.7,10000.0,300.0,
15,1.0,5.0,10.0,0.3,0.0,205.0,0.05001287783185641
16,1.0,5.0,10.0,0.3,10.0,180.0,0.050186265259981155
17,1.0,5.0,10.0,0.3,100.0,149.0,0.05147760485609373
18,1.0,5.0,10.0,0.3,1000.0,188.0,0.05202971709271272
19,1.0,5.0,10.0,0.3,10000.0,30.0,0.07056489307433367
20,1.0,5.0,10.0,0.5,0.0,156.0,0.0525085444872578
21,1.0,5.0,10.0,0.5,10.0,180.0,0.051802439304689564
22,1.0,5.0,10.0,0.5,100.0,80.0,0.07083115912973881
23,1.0,5.0,10.0,0.5,1000.0,205.0,0.057356067933142185
24,1.0,5.0,10.0,0.5,10000.0,105.0,0.05311688159902891
25,1.0,5.0,10.0,0.7,0.0,190.0,0.059090553782880306
26,1.0,5.0,10.0,0.7,10.0,70.0,0.07086690266927083
27,1.0,5.0,10.0,0.7,100.0,31.0,0.07087825114528339
28,1.0,5.0,10.0,0.7,1000.0,76.0,0.07088733278214931
29,1.0,5.0,10.0,0.7,10000.0,95.0,0.058596122078597546
30,1.0,5.0,15.0,0.3,0.0,39.0,0.07026403428365786
31,1.0,5.0,15.0,0.3,10.0,17.0,0.07061422523111105
32,1.0,5.0,15.0,0.3,100.0,84.0,0.04991097220530113
33,1.0,5.0,15.0,0.3,1000.0,14.0,0.07112718870242436
34,1.0,5.0,15.0,0.3,10000.0,54.0,0.05249403261890014
35,1.0,5.0,15.0,0.5,0.0,26.0,0.07059788176168998
36,1.0,5.0,15.0,0.5,10.0,16.0,0.07069697758803765
37,1.0,5.0,15.0,0.5,100.0,118.0,0.052166671181718506
38,1.0,5.0,15.0,0.5,1000.0,19.0,0.07075772217164437
39,1.0,5.0,15.0,0.5,10000.0,54.0,0.057529969761768975
40,1.0,5.0,15.0,0.7,0.0,21.0,0.07082328666001558
41,1.0,5.0,15.0,0.7,10.0,300.0,
42,1.0,5.0,15.0,0.7,100.0,45.0,0.07084924075752497
43,1.0,5.0,15.0,0.7,1000.0,21.0,0.07104634338368972
44,1.0,5.0,15.0,0.7,10000.0,143.0,0.05624238681048155
45,1.0,5.0,20.0,0.3,0.0,144.0,0.0500407787039876
46,1.0,5.0,20.0,0.3,10.0,203.0,0.048071855679154396
47,1.0,5.0,20.0,0.3,100.0,26.0,0.06949365387360255
48,1.0,5.0,20.0,0.3,1000.0,11.0,0.07089579477906227
49,1.0,5.0,20.0,0.3,10000.0,169.0,0.051791077479720116
50,1.0,5.0,20.0,0.5,0.0,13.0,0.07056701648980379
51,1.0,5.0,20.0,0.5,10.0,26.0,0.07067817573746045
52,1.0,5.0,20.0,0.5,100.0,32.0,0.07076430289695661
53,1.0,5.0,20.0,0.5,1000.0,11.0,0.07146472204476595
54,1.0,5.0,20.0,0.5,10000.0,203.0,0.055816312320530415
55,1.0,5.0,20.0,0.7,0.0,30.0,0.07082023937255144
56,1.0,5.0,20.0,0.7,10.0,18.0,0.07089165722330411
57,1.0,5.0,20.0,0.7,100.0,300.0,
58,1.0,5.0,20.0,0.7,1000.0,11.0,0.07209912687540054
59,1.0,5.0,20.0,0.7,10000.0,300.0,
60,1.0,5.0,25.0,0.3,0.0,103.0,0.050052232729891934
61,1.0,5.0,25.0,0.3,10.0,192.0,0.048207160706321396
62,1.0,5.0,25.0,0.3,100.0,58.0,0.0542890386035045
63,1.0,5.0,25.0,0.3,1000.0,21.0,0.0706231389194727
64,1.0,5.0,25.0,0.3,10000.0,69.0,0.05162523655841748
65,1.0,5.0,25.0,0.5,0.0,126.0,0.05388220896323522
66,1.0,5.0,25.0,0.5,10.0,19.0,0.0705947953586777
67,1.0,5.0,25.0,0.5,100.0,83.0,0.05921795560667912
68,1.0,5.0,25.0,0.5,1000.0,141.0,0.05158558705200752
69,1.0,5.0,25.0,0.5,10000.0,70.0,0.054234518048663936
70,1.0,5.0,25.0,0.7,0.0,16.0,0.07073269691318274
71,1.0,5.0,25.0,0.7,10.0,300.0,
72,1.0,5.0,25.0,0.7,100.0,14.0,0.07118188062061866
73,1.0,5.0,25.0,0.7,1000.0,22.0,0.07080944161862135
74,1.0,5.0,25.0,0.7,10000.0,75.0,0.06021887343376875
75,1.0,5.0,30.0,0.3,0.0,13.0,0.06966433084259431
76,1.0,5.0,30.0,0.3,10.0,20.0,0.07022265593210857
77,1.0,5.0,30.0,0.3,100.0,13.0,0.07013681344687939
78,1.0,5.0,30.0,0.3,1000.0,17.0,0.07084354665130377
79,1.0,5.0,30.0,0.3,10000.0,76.0,0.05239316603789727
80,1.0,5.0,30.0,0.5,0.0,18.0,0.0701379772896568
81,1.0,5.0,30.0,0.5,10.0,99.0,0.05404272644470135
82,1.0,5.0,30.0,0.5,100.0,11.0,0.07063544603685538
83,1.0,5.0,30.0,0.5,1000.0,13.0,0.07215530673662822
84,1.0,5.0,30.0,0.5,10000.0,11.0,0.07056864940871795
85,1.0,5.0,30.0,0.7,0.0,15.0,0.07067790379126866
86,1.0,5.0,30.0,0.7,10.0,300.0,
87,1.0,5.0,30.0,0.7,100.0,11.0,0.07094200390080611
88,1.0,5.0,30.0,0.7,1000.0,13.0,0.07656290382146835
89,1.0,5.0,30.0,0.7,10000.0,12.0,0.07083181943744421
90,1.0,5.0,35.0,0.3,0.0,123.0,0.05152608516315619
91,1.0,5.0,35.0,0.3,10.0,73.0,0.05238858051598072
92,1.0,5.0,35.0,0.3,100.0,11.0,0.0695973780627052
93,1.0,5.0,35.0,0.3,1000.0,23.0,0.07076750633617242
94,1.0,5.0,35.0,0.3,10000.0,84.0,0.0522885766501228
95,1.0,5.0,35.0,0.5,0.0,15.0,0.07017634032915036
96,1.0,5.0,35.0,0.5,10.0,81.0,0.05427916379024585
97,1.0,5.0,35.0,0.5,100.0,15.0,0.07016528925547998
98,1.0,5.0,35.0,0.5,1000.0,31.0,0.07072696400185426
99,1.0,5.0,35.0,0.5,10000.0,63.0,0.05561443759749333
100,1.0,5.0,35.0,0.7,0.0,12.0,0.07111405705412228
101,1.0,5.0,35.0,0.7,10.0,35.0,0.07075101602822542
102,1.0,5.0,35.0,0.7,100.0,15.0,0.07070638953397672
103,1.0,5.0,35.0,0.7,1000.0,72.0,0.070774940152963
104,1.0,5.0,35.0,0.7,10000.0,300.0,
105,1.0,5.0,40.0,0.3,0.0,76.0,0.05098334141075611
106,1.0,5.0,40.0,0.3,10.0,27.0,0.0705051136513551
107,1.0,5.0,40.0,0.3,100.0,52.0,0.05539886187762022
108,1.0,5.0,40.0,0.3,1000.0,74.0,0.05236894326905409
109,1.0,5.0,40.0,0.3,10000.0,59.0,0.052267915879686676
