,num_layers,hidden1,hidden2,dropout,random_seed,epochs_trained,val_error
0,1.0,25.0,10.0,0.3,0.0,59.0,0.42660868819803
1,1.0,25.0,10.0,0.3,10.0,87.0,0.3932184251025319
2,1.0,25.0,10.0,0.3,100.0,29.0,0.4948287283380826
3,1.0,25.0,10.0,0.3,1000.0,92.0,0.3940525930374861
4,1.0,25.0,10.0,0.3,10000.0,45.0,0.4389498398328821
5,1.0,25.0,15.0,0.3,0.0,49.0,0.39537686699380475
6,1.0,25.0,15.0,0.3,10.0,32.0,0.48784011354049045
7,1.0,25.0,15.0,0.3,100.0,69.0,0.37595792952924967
8,1.0,25.0,15.0,0.3,1000.0,59.0,0.422297569612662
9,1.0,25.0,15.0,0.3,10000.0,59.0,0.3997822391490142
10,1.0,25.0,20.0,0.3,0.0,44.0,0.43790279421955347
11,1.0,25.0,20.0,0.3,10.0,49.0,0.34078140091151
12,1.0,25.0,20.0,0.3,100.0,44.0,0.3773822632307808
13,1.0,25.0,20.0,0.3,1000.0,99.0,0.3973472624396284
14,1.0,25.0,20.0,0.3,10000.0,37.0,0.5103127372761568
15,1.0,30.0,10.0,0.3,0.0,45.0,0.4853851683437824
16,1.0,30.0,10.0,0.3,10.0,24.0,0.49305308796465397
17,1.0,30.0,10.0,0.3,100.0,56.0,0.39178811479359865
18,1.0,30.0,10.0,0.3,1000.0,55.0,0.40706797627111274
19,1.0,30.0,10.0,0.3,10000.0,55.0,0.39192057059456903
20,1.0,30.0,15.0,0.3,0.0,72.0,0.3657154900332292
21,1.0,30.0,15.0,0.3,10.0,63.0,0.40856768501301605
22,1.0,30.0,15.0,0.3,100.0,98.0,0.36073775589466095
23,1.0,30.0,15.0,0.3,1000.0,78.0,0.3910181413715084
24,1.0,30.0,15.0,0.3,10000.0,49.0,0.4601754328856866
25,1.0,30.0,20.0,0.3,0.0,25.0,0.48524763124684495
26,1.0,30.0,20.0,0.3,10.0,69.0,0.3653643727302551
27,1.0,30.0,20.0,0.3,100.0,61.0,0.3794089596097668
28,1.0,30.0,20.0,0.3,1000.0,38.0,0.4149101435517271
29,1.0,30.0,20.0,0.3,10000.0,43.0,0.44092379603534937
30,1.0,35.0,10.0,0.3,0.0,80.0,0.38104976682613295
31,1.0,35.0,10.0,0.3,10.0,69.0,0.41844899269441765
32,1.0,35.0,10.0,0.3,100.0,31.0,0.49200959255297977
33,1.0,35.0,10.0,0.3,1000.0,80.0,0.4011072653035323
34,1.0,35.0,10.0,0.3,10000.0,68.0,0.4414395246033867
35,1.0,35.0,15.0,0.3,0.0,49.0,0.4294030833989382
36,1.0,35.0,15.0,0.3,10.0,55.0,0.361825932127734
37,1.0,35.0,15.0,0.3,100.0,60.0,0.3858353352795045
38,1.0,35.0,15.0,0.3,1000.0,47.0,0.4072920357187589
39,1.0,35.0,15.0,0.3,10000.0,58.0,0.39190810499712825
40,1.0,35.0,20.0,0.3,0.0,45.0,0.4116571210324764
41,1.0,35.0,20.0,0.3,10.0,89.0,0.3379043114061157
42,1.0,35.0,20.0,0.3,100.0,41.0,0.41615952737629414
43,1.0,35.0,20.0,0.3,1000.0,28.0,0.4379007990161578
44,1.0,35.0,20.0,0.3,10000.0,47.0,0.43582076765596867
