param_id,num_layers,hidden1,hidden2,dropout,epochs_trained,val_error
10,2.0,25.0,25.0,0.3,137.8,0.04313018377870316
15,2.0,30.0,20.0,0.3,109.6,0.04405141271029904
6,1.0,25.0,20.0,0.3,133.4,0.044061532492438917
2,1.0,20.0,30.0,0.3,137.4,0.04446662248422698
14,1.0,30.0,30.0,0.3,83.4,0.04457927656670408
7,1.0,25.0,25.0,0.3,106.0,0.04489856713141
5,2.0,20.0,30.0,0.3,112.8,0.04512603227049106
16,2.0,30.0,25.0,0.3,97.2,0.04522071927785872
0,1.0,20.0,20.0,0.3,129.4,0.045553963817656
12,1.0,30.0,20.0,0.3,120.4,0.045698753620187396
9,2.0,25.0,20.0,0.3,103.8,0.045996045600622856
8,1.0,25.0,30.0,0.3,95.4,0.04600457654645042
13,1.0,30.0,25.0,0.3,105.2,0.04606877087304984
17,2.0,30.0,30.0,0.3,79.2,0.04610520635421072
3,2.0,20.0,20.0,0.3,89.8,0.046834913703302505
1,1.0,20.0,25.0,0.3,95.6,0.047712481301277844
11,2.0,25.0,30.0,0.3,63.0,0.04849911648780102
4,2.0,20.0,25.0,0.3,68.2,0.048812951644261623
