param_id,num_layers,hidden1,hidden2,dropout,epochs_trained,val_error
13,1.0,35.0,15.0,0.3,44.8,0.4119416443010171
7,1.0,30.0,15.0,0.3,46.4,0.4124235695848862
16,2.0,35.0,15.0,0.3,29.6,0.41701763172944384
2,1.0,25.0,20.0,0.3,42.6,0.41802716813981533
4,2.0,25.0,15.0,0.3,33.8,0.42000287634630995
6,1.0,30.0,10.0,0.3,46.2,0.4217392089466253
17,2.0,35.0,20.0,0.3,28.0,0.42269586970408757
1,1.0,25.0,15.0,0.3,49.2,0.42582404526571427
10,2.0,30.0,15.0,0.3,34.2,0.42904557449122266
11,2.0,30.0,20.0,0.3,32.4,0.43219990842044353
8,1.0,30.0,20.0,0.3,30.2,0.43457561607162154
3,2.0,25.0,10.0,0.3,29.4,0.4421076025813818
15,2.0,35.0,10.0,0.3,36.0,0.4430532989402612
14,1.0,35.0,20.0,0.3,29.4,0.4468880333006382
0,1.0,25.0,10.0,0.3,45.6,0.4471842799335718
12,1.0,35.0,10.0,0.3,40.8,0.4486853890120983
5,2.0,25.0,20.0,0.3,29.6,0.46654517364998654
9,2.0,30.0,10.0,0.3,29.6,0.5007937088608742
