param_id,hidden_size,dropout,epochs_trained,val_error
29,50.0,0.7,115.4,0.37597782450417677
17,40.0,0.5,112.6,0.3791222999493281
6,35.0,0.3,78.8,0.38850413262844086
7,40.0,0.3,73.8,0.3922678319116433
16,35.0,0.5,115.4,0.3926268157859643
19,50.0,0.5,93.4,0.39342402629554274
25,30.0,0.7,133.6,0.39885337327917414
5,30.0,0.3,82.8,0.39916754911343255
8,45.0,0.3,71.6,0.3997726156065861
9,50.0,0.3,76.6,0.4012521656850973
28,45.0,0.7,106.6,0.40588469716409836
26,35.0,0.7,117.0,0.40658604924877484
13,20.0,0.5,110.4,0.41188569975395994
15,30.0,0.5,80.2,0.41262272944053013
18,45.0,0.5,111.8,0.4148568520943323
4,25.0,0.3,90.6,0.41592516774932536
24,25.0,0.7,113.2,0.41758205840984974
27,40.0,0.7,100.0,0.42746904008090497
14,25.0,0.5,96.2,0.44616328813135625
3,20.0,0.3,72.0,0.44758835236231487
22,15.0,0.7,125.6,0.46408902791639167
23,20.0,0.7,108.8,0.4675592742860317
12,15.0,0.5,113.0,0.4912426433215539
1,10.0,0.3,112.0,0.5107165280729532
2,15.0,0.3,115.0,0.5184952341020107
11,10.0,0.5,122.0,0.5224772744501631
0,5.0,0.3,151.6,0.640730195492506
21,10.0,0.7,132.6,0.6467505118499199
10,5.0,0.5,149.2,0.6764254067093134
20,5.0,0.7,93.2,0.8995056214431921
