,train,val,test
384,-17.58573418070509,-25.68732798686946,-22.738149621133836
1755,-7.157467032850664,-17.372554814251274,-9.808483331690214
1026,-5.182594475173371,-17.221750060195227,-15.577047818232217
506,-32.21419872310988,-12.424523995240033,-60.743712834863004
1654,-13.229440971192728,-8.395074393692553,-14.17148773588104
319,-8.862257396042157,-2.9497747300868356,6.672706063090147
502,-10.337835618235513,-5.7271133488499215,-0.32406423446378196
522,-13.59126257025979,-16.519420289779912,-9.998005100439022
505,-22.76586203505135,-32.270954264067385,-30.711714284966984
415,-3.1912158342128896,-8.154864369362135,-13.805899630925092
1848,-6.398530040984071,-12.279750067027868,-34.1820217759841
872,-154.39344745415244,-700601550.188537,-89.97260616727614
1655,-18.76934267020332,-19.90408512524476,-11.522943016037248
1112,-10.793201132362947,-14.888848878641266,-4.932750163117368
597,-9.338655549700595,-12.126985009263906,-13.53418884811933
7313,-3.1977494685361134,-8.206460848308428,-0.693684871885683
1125,-22.34683439202225,-21.95203740153576,-19.37735860448469
1744,-14.549386972784836,-7.710477994895963,-2.6852774368435957
398,-18.90675277139556,-37.38734386546213,-30.789508627741064
1762,-10.97393253374186,-36.82350118299079,-26.426114411616368
60,-9.532664677077214,-7.5840190249756105,-10.27013191838098
958,-23.77495697180429,-50.77206008316791,-116.25690298593446
390,-24.38171028271874,-47.83900409833641,-70.8240503967014
882,-7.653085036429646,-7.3652148843788,21.497250518867947
473,-31.70285474106105,7.34982854100389,8.514330761995293
362,-6.540811798389913,-51.47299987566468,-24.9205644133056
63,-15.64945753682385,-16.020282598396975,-7.670588669670639
575,-7.3192000767424625,-9.185203441225998,-25.739008124635454
1592,-18.856498429150104,-16.800126046124344,-12.172458742532857
1237,-102.39068804315598,-96.73807327554769,-88.44356385600962
1796,-12.695413041829756,-50.20361751600028,-35.66325928417763
1869,-8.075932812490295,-6.6037121047099046,-16.88744105845825
293,-18.77557564321832,-25.363857390631612,-29.063856639140273
393,-5.3047184842702,-22.09785919055708,-1.5108168813947265
1092,-14.038717267300246,-16.71537591796382,-18.879265483071993
1777,-5.030793682069945,-19.208488829120448,-5.49336922603589
1587,-21.446202800665176,-17.6572765413763,-13.031127067991061
798,-36.549804295561664,-38.734055918430585,8.653833630620305
378,-87.86191549701556,-92.69789733642943,3.198785265351988
456,-10.557646288205348,-25.186644469231002,-69.32335655947873
1703,-31.58325708239543,-51.21611557383715,-42.56409732189082
837,-16.3534232474446,-16.255784373676427,-8.902504752351003
1645,-20.145971903316127,-9.603192091667964,-23.28816815687512
895,-0.2768644366356868,-2.3221146748037635,-0.486603083700922
517,-10.004329972823813,-5.609639114119467,-16.75114869303911
753,-3.6052276650492265,-18.673753996493303,6.634586630615306
938,-48.778831515973785,-32.22171249016695,28.391464298865174
300,-10.456323745044894,-18.1583005354618,-6.121933748276195
529,-21.732220089995256,-86.79190369036942,-66.51855016675074
1101,-13.573385707915177,-13.557727863136806,-19.372921660125993
297,-13.602828922046855,-18.786345291616904,-19.784709393902958
1756,-5.099353658436971,12.720921185771527,12.602512565694715
601,-17.91585460446773,-68.89730227814827,-93.33425644989198
386,-66.3513960716148,-33.69555884787738,-70.29806572367757
536,-7.077305624853989,-8.564427137357278,-13.179225317802661
399,-3.9967890361105156,-4.906391917913762,-20.195306108368367
920,-0.874768662471481,-3.7190224262251146,4.728496352154875
1249,-155.27967679202044,9.895147577785322,-85.71748873599296
131,-9.546372627167196,-16.52624092347856,-28.89749226544731
1753,-5.504907744335625,0.2668623763480856,8.293000989549904
1017,-10.647768595624017,1.2236980624765064,1.3914482815183598
385,-33.15037397000308,-83.9769240077537,-107.7947883152511
784,-56.851036532511806,13.245811795583498,-7.331235983878167
939,-36.00473374770979,-116.88056414846118,-160.42583834900375
780,-35.687483788272765,2.2429959411913707,7.053713968796229
541,-7.549169981071583,-9.056706091214629,-17.117044872283252
492,-9.391114377480008,1.2869774817156163,-20.780195899193625
870,-4.661382196555533,-32.09695860232873,0.49602585204191785
55,-19.07734533229986,-11.318209075034598,-1.9903597258487864
372,-8.072054565159638,-8.92245769170356,-18.711148541007674
367,-21.07999196165749,-16.174663586395422,-14.34393605123916
1683,-26.216823609249076,-28.81164412071899,-17.190875319340872
373,-8.77551176662461,-19.495773808973418,2.444777350520393
574,-4.266479238575076,-5.849787086549391,-20.267070463446437
423,-5.76178068218515,-5.653873189684885,-2.40037653915146
884,-1.1956078501848324,-11.853848321697074,-3.267905845749481
1740,-21.3113724753853,-19.99435771037952,-15.548237263999713
885,-10.716991693102194,2.629147734344841,-8.773074532882479
1042,-20.697357597223228,-25.4851571989188,-33.7633219164103
1192,-2.1913866371365747,-6.771051629427526,-2.4635473212598527
572,-31.15250368229007,-14.818751797611167,17.32370968803006
511,-12.025478425437626,-16.888159359247506,-24.10608994863228
451,-14.531323752591435,-35.29420946612262,-29.580324375928747
449,-13.043933769779898,1.3507276582246917,-35.96858930181288
1883,-3.1096262455872528,-2.7241849139764605,-2.097268942395819
488,-5.153138630081109,-2.758704571016091,-23.58090694666383
1121,-22.34683439202225,-21.95203740153576,-19.37735860448469
497,-13.70039309625606,-25.210011676887383,-18.24058545444672
1754,-32.89719066585478,-21.83176005994956,-15.967389942266967
57,-27.40628725147064,-35.63714147501736,-26.89216223710915
416,-7.869423540321495,-6.364521591955747,-32.21752463410644
953,-298.3613314149705,-270.6564298688907,-266.1388079600978
1776,-4.504566710050038,-7.356596571329411,7.326847506830153
1067,-18.991042519492243,-13.477425260956284,-14.800422680475094
898,-0.460431133982124,-14.847509239505632,-7.043398339433779
893,-21.462736335062914,-63.84372576767539,18.980329496995743
421,-15.230451496866735,-6.456799795955494,-34.23156795081747
1634,-21.3113724753853,-19.99435771037952,-15.548237263999713
1864,-14.824104036789958,-24.997325460899628,-26.37181065183425
307,-3.4646612263063012,-21.29259957874269,-5.696379847754106
355,-2.8669520663437096,-10.012081757325785,4.907105692063901
1752,-2.435913891301152,-4.561419358027817,-2.0278369292761766
292,-11.613630536489964,-23.257360940901147,-24.424908289132
1036,-20.916555009871445,-22.079435006641155,-47.08414668197479
1739,-10.533822902887938,-14.927142655104596,-9.510209510054484
204,-4.0590670842754895,0.7120075426921589,11.445214913773839
7318,-1.481429177743592,-0.9478816060026763,0.3369149032849987
1741,-13.786641714373562,-45.93043544609487,-37.08464600518621
1086,-254.5675152827893,-38069.53395416777,-83139.31523930085
1851,-20.431618210007784,-25.098092473509652,-16.174350035648157
1761,-6.618070892048357,-18.86484677815129,-12.718513967588454
1714,-9.713955669520065,-24.05179128204075,-14.86671881863412
1122,-7.680256713907197,-10.548453441445826,-3.372957419052352
1586,-13.281563457470028,-10.000979161450863,-9.337980449895795
542,-2.1169264878840814,-3.1764828229325306,-5.290231167564991
509,-21.291733952942455,-39.714755333378356,-17.19788732243984
