,train,val,test
1026,-16.46605481382041,-22.850344582233628,-18.25933063174207
1761,-13.211698427562306,-21.361787239900163,-13.828947921695898
574,-23.20502591871578,-15.129847083731526,-36.77069297961364
1086,-539.1115907707847,-44678.85737557297,-86678.99265886056
953,-434.14093322403846,-299.40167877655637,-270.8196565557885
1101,-29.083892770692064,-37.22345984437256,-31.336544067316684
522,-13.455281400897446,-6.510438946884004,-5.153413386005842
502,-14.927967932838767,-13.017415380982792,-11.008571674438908
319,-9.309563571846061,-6.5484321475226315,-1.5287484763456505
511,-7.634120359568439,-9.319949980035414,-10.441941316480742
1092,-45.62164357388194,-42.00123719268498,-34.52975740774736
958,-28.208804160566586,-108.09886311534834,-210.35861245891795
1683,-58.94768177921373,-58.693211473523796,-36.14209138020111
506,-37.67701817624735,-24.942065465581432,-53.607892252231444
292,-36.69966306830877,-28.46227939955034,-28.932483541262823
541,-13.475891365828767,-14.681712809218345,-28.376381403852385
1654,-25.105388712330154,-8.146979816679194,-16.61900903527415
597,-13.783995937371518,-24.852944042971334,-21.644700603077524
386,-150.2324870262707,-142.53071019263854,-215.3845438109048
60,-10.337338375232365,-4.755567837085682,-7.8511015941328965
1864,-22.83312322882903,-62.82391619775366,-46.306507123244316
920,-0.34383902011817025,2.031665240679165,4.533883140973981
57,-51.65052751278627,-36.71534647510712,-46.49078844004375
399,-11.487373884109637,-9.315982080531244,-30.83826446328997
1776,-9.408830468276648,-17.269145195851696,-8.49031725965841
393,-10.572778158713245,-33.468102236659576,-7.839314066039462
451,-14.112584034236553,-36.51046552003642,-20.92025843716131
1753,-5.848481135444879,2.6682024624299703,2.9370200058747598
1762,-22.157136701717135,-25.459609618909198,-7.483503006530848
1714,-19.953339829555667,-36.93526865888739,-17.258397246260767
938,-58.70936834735173,-28.880987700209523,-7.390972004750054
421,-19.237435629406225,-25.47259020546111,-26.77487215140888
488,-23.81185164609297,-24.617328334835502,-28.60469871863734
362,-32.065193139078815,-53.043078823900984,-38.019969450936365
390,-46.05437216374179,-58.83652531151913,-70.5146418812623
300,-19.256075555007218,-28.387029286774546,-11.518088566234125
517,-13.751031445015883,-11.978025346830368,-23.49628550180927
293,-23.628056460742993,-25.894404125723586,-26.111557760309484
372,-17.358909404646706,-21.523169473159747,-31.114067072459537
1634,-27.19715116114969,-27.33386597185804,-17.600261904049585
798,-67.22253351948976,-84.43721260763026,-32.90774232261933
63,-37.71130731026402,-18.348117886475737,-33.907414002529194
939,-93.25090345683397,-143.8900789546699,-184.34460717711497
1122,-25.225277345112026,-41.86897856342975,-21.903891165917198
601,-19.82539123801761,-57.51225253803101,-90.43332659018462
1756,-15.164958296219393,-14.551927151546236,-0.5865199201396661
